scattering,M,S,iterationN,e_RSI_N
isotropic,64,4,14,1.04443
isotropic,64,8,14,0.454479
isotropic,64,16,14,0.25714
isotropic,64,32,14,0.184175
isotropic,64,64,14,0.117178
isotropic,64,128,14,0.095759
isotropic,64,256,14,0.118141
isotropic,64,512,14,0.0868963
isotropic,64,1024,14,0.0588198
isotropic,256,4,14,0.445257
isotropic,256,8,14,0.463644
isotropic,256,16,14,0.243761
isotropic,256,32,14,0.201578
isotropic,256,64,14,0.14114
isotropic,256,128,14,0.0910646
isotropic,256,256,14,0.0742374
isotropic,256,512,14,0.0494617
isotropic,256,1024,14,0.020082
anisotropic,64,4,13,0.834588
anisotropic,64,8,13,0.414795
anisotropic,64,16,13,0.424265
anisotropic,64,32,13,0.182412
anisotropic,64,64,13,0.177951
anisotropic,64,128,13,0.125857
anisotropic,64,256,13,0.0870206
anisotropic,64,512,13,0.0474509
anisotropic,64,1024,13,0.0382044
anisotropic,256,4,13,0.410554
anisotropic,256,8,13,0.441299
anisotropic,256,16,13,0.478647
anisotropic,256,32,13,0.235502
anisotropic,256,64,13,0.216845
anisotropic,256,128,13,0.175136
anisotropic,256,256,13,0.127608
anisotropic,256,512,13,0.0845623
anisotropic,256,1024,13,0.0658645
